BIC;Name
BILADE55;KREISSPARKASSE BIRKENFELD (BIRKENFELDER LANDESBANK)
BILADE55XXX;Kreissparkasse Birkenfeld
BIWBDE33;FLATEX BANK AG
BIWBDE33303;flatex Bank
BIWBDE33760;flatex Bank
BIWBDE33XXX;flatex Bank
BKCHDEFF;BANK OF CHINA
BKCHDEFFHMB;Bank of China Fil Hamburg
BKCHDEFFXXX;Bank of China
BKMADE61;BANKHAUS E. MAYER AKTIENGESELLSCHAFT
BKMADE61XXX;Bankhaus E. Mayer
BKMZDE51;BAUSPARKASSE MAINZ AKTIENGESELLSCHAFT
BKMZDE51XXX;Bausparkasse Mainz
BMWBDEM1;BMW BANK GMBH
BMWBDEMU;BMW BANK GMBH
BMWBDEMUXXX;BMW Bank
BNPADEFF;BNP PARIBAS S.A. NIEDERLASSUNG FRANKFURT AM MAIN
BNPADEFFXXX;BNP Paribas Niederlassung Deutschland
BNYMDEF1;BANK OF NEW YORK MELLON SA/NV
BNYMDEF1XXX;The Bank of New York Mellon NL Frankfurt
BOFADEFX;BANK OF AMERICA, N.A.
BOFADEFXVAM;Bank of America, Filiale Frankfurt
BOFADEFXXXX;Bank of America
BOFSDEB1;LLOYDS BANK GMBH
BOFSDEB1XXX;Lloyds Bank
BOFSDEF1;LLOYDS BANK GMBH
BOFSDEF1XXX;Lloyds Bank
BOTKDEDX;MUFG BANK (EUROPE) N.V. GERMANY BRANCH
BOTKDEDXXXX;MUFG Bank (Europe) Germany Branch
BOTKDEH1XXX;MUFG Bank (Europe) Germany Branch
BOURDEFF;COMDIRECT BANK AG UND GF ONVISTA BANK
BOURDEFFXXX;comdirect bank - GB onvista bank
BPKODEFF;PKO BANK POLSKI S.A. NIEDERLASSUNG DEUTSCHLAND
BPKODEFFXXX;PKO Bank Polski Niederlassung Deutschland
BPNDDE52;BANQUE PSA FINANCE S.A. NIEDERLASSUNG DEUTSCHLAND
BPNDDE52XXX;PSA Bank Deutschland
BRASDEFF;BANCO DO BRASIL S.A.
BRASDEFFXXX;Banco do Brasil
BRLADE21ANO;Sparkasse Aurich-Norden
BRLADE21BRK;Kreissparkasse Wesermünde-Hadeln -alt-
BRLADE21BRS;Weser-Elbe Sparkasse
BRLADE21CUX;Stadtsparkasse Cuxhaven
BRLADE21DHZ;Kreissparkasse Grafschaft Diepholz
BRLADE21EMD;Sparkasse Emden
BRLADE21LER;Sparkasse LeerWittmund
BRLADE21LZO;LANDESSPARKASSE ZU OLDENBURG
BRLADE21OHZ;Kreissparkasse Osterholz -alt-
BRLADE21ROB;Sparkasse Rotenburg Osterholz
BRLADE21SHL;Zweckverbandssparkasse Scheeßel
BRLADE21SYK;Kreissparkasse Syke
BRLADE21VER;Kreissparkasse Verden
BRLADE21WHV;Sparkasse Wilhelmshaven
BRLADE21WTM;Kreissparkasse Wittmund
BRLADE22;NORDDEUTSCHE LANDESBANK - GIROZENTRALE
BRLADE22OLD;Norddeutsche Landesbank - Girozentrale -
BRLADE22XXX;Norddeutsche Landesbank - Girozentrale -
BRUSDE66;SPARKASSE KRAICHGAU BRUCHSAL-BRETTEN-SINSHEIM
BRUSDE66XXX;Sparkasse Kraichgau Bruchsal-Bretten-Sinsheim
BSCHDEFF;BANCO SANTANDER S.A.
BSCHDEFFXXX;Banco Santander Filiale Frankfurt
BSHADE71;BANK SCHILLING AND CO AKTIENGESELLSCHAFT
BSHADE71XXX;Merkur Bank
BSHHDE61XXX;Bausparkasse Schwäbisch Hall
BSUIDEFF;CREDIT AGRICOLE CIB
BSUIDEFFXXX;Credit Agricole CIB Deutschland
BSWLDE61XXX;Wüstenrot Bausparkasse
BTVADE61;BANK FUER TIROL UND VORARLBERG AKTIENGESELLSCHAFT, ZWEIGNIEDERLASSUNG
BTVADE61XXX;Bank für Tirol und Vorarlberg Deutschland
BVDHDEMM;BANKHAUS VON DER HEYDT GMBH UND CO. KG
BVDHDEMMXXX;Bankhaus von der Heydt
BVWBDE2W;NET-M PRIVATBANK 1891 AG
BVWBDE2WXXX;net-m privatbank 1891
BYLADE77;BAYERISCHE LANDESBANK,NUERNBERG BRANCH
BYLADEM1001;Deutsche Kreditbank Berlin
BYLADEM1ABG;Sparkasse Amberg-Sulzbach
BYLADEM1AIC;Sparkasse Aichach-Schrobenhausen
BYLADEM1ALG;Sparkasse Allgäu
BYLADEM1ALR;Sparkasse Riezlern, Kleinwalsertal
BYLADEM1ANS;Sparkasse Ansbach
BYLADEM1AOE;Kreissparkasse Altötting-Burghausen -alt-
BYLADEM1ASA;Sparkasse Aschaffenburg Alzenau
BYLADEM1AUG;Kreissparkasse Augsburg
BYLADEM1BGL;Sparkasse Berchtesgadener Land
BYLADEM1CHM;Sparkasse im Landkreis Cham
BYLADEM1COB;Sparkasse Coburg-Lichtenfels
BYLADEM1DAH;Sparkasse Dachau
BYLADEM1DEG;Sparkasse Deggendorf
BYLADEM1DKB;Kreis- und Stadtsparkasse Dinkelsbühl -alt-
BYLADEM1DLG;Sparkasse Dillingen-Nördlingen
BYLADEM1DON;Sparkasse Donauwörth
BYLADEM1EBE;Kreissparkasse München Starnberg Ebersberg -alt-
BYLADEM1EGF;Sparkasse Rottal-Inn
BYLADEM1EIS;Sparkasse Eichstätt -alt-
BYLADEM1ERD;Kreis- und Stadtsparkasse Erding-Dorfen
BYLADEM1ERH;Stadt- u. Kreissparkasse Erlangen Höchstadt Herzogenaurach
BYLADEM1ESB;Vereinigte Sparkassen Eschenbach i d Opf
BYLADEM1FFB;Sparkasse Fürstenfeldbruck
BYLADEM1FIG;Sparkasse Hochfranken -alt-
BYLADEM1FOR;Sparkasse Forchheim
BYLADEM1FRG;Sparkasse Freyung-Grafenau
BYLADEM1FSI;Sparkasse Freising
BYLADEM1GAP;Kreissparkasse Garmisch-Partenkirchen
BYLADEM1GUN;Vereinigte Sparkassen Gunzenhausen
BYLADEM1GZK;Sparkasse Günzburg-Krumbach
BYLADEM1HAS;Sparkasse Ostunterfranken -alt-
BYLADEM1HOF;Sparkasse Hochfranken
BYLADEM1HOS;Kreissparkasse Höchstadt
BYLADEM1ING;Sparkasse Ingolstadt Eichstätt
BYLADEM1KEH;Kreissparkasse Kelheim
BYLADEM1KFB;Kreis- und Stadtsparkasse Kaufbeuren
BYLADEM1KIS;Sparkasse Bad Kissingen
BYLADEM1KMS;Kreissparkasse München Starnberg Ebersberg
BYLADEM1KSW;Sparkasse Schweinfurt-Haßberge
BYLADEM1KUB;Sparkasse Kulmbach-Kronach
BYLADEM1LAH;Sparkasse Landshut
BYLADEM1LLD;Sparkasse Landsberg-Dießen
BYLADEM1MDF;Sparkasse Altötting-Mühldorf
BYLADEM1MIB;Kreissparkasse Miesbach-Tegernsee
BYLADEM1MIL;Sparkasse Miltenberg-Obernburg
BYLADEM1MLM;Sparkasse Memmingen-Lindau-Mindelheim
BYLADEM1MSB;Stadt- und Kreissparkasse Moosburg
BYLADEM1NEA;Sparkasse im Landkreis Neustadt a.d. Aisch - Bad Windsheim
BYLADEM1NEB;Sparkasse Neuburg-Rain
BYLADEM1NES;Sparkasse Bad Neustadt a d Saale
BYLADEM1NLG;Sparkasse Nördlingen -alt-
BYLADEM1NMA;Sparkasse Neumarkt i d OPf-Parsberg
BYLADEM1NUL;Sparkasse Neu-Ulm-Illertissen
BYLADEM1PAF;Sparkasse Pfaffenhofen
BYLADEM1PAS;Sparkasse Passau
BYLADEM1RBG;Sparkasse Regensburg
BYLADEM1REG;Sparkasse Regen-Viechtach
BYLADEM1ROS;Sparkasse Rosenheim-Bad Aibling
BYLADEM1ROT;Stadt- und Kreissparkasse Rothenburg -alt-
BYLADEM1SAD;Sparkasse im Landkreis Schwandorf
BYLADEM1SBT;Sparkasse Bayreuth
BYLADEM1SFU;Sparkasse Fürth
BYLADEM1SKB;Sparkasse Bamberg
BYLADEM1SOG;Kreissparkasse Schongau -alt-
BYLADEM1SRG;Sparkasse Niederbayern-Mitte
BYLADEM1SRS;Sparkasse Mittelfranken-Süd
BYLADEM1SSH;Sparkasse Aichach-Schrobenhausen -alt-
BYLADEM1SSW;Städtische Sparkasse Schweinfurt -alt-
BYLADEM1SWU;Sparkasse Mainfranken Würzburg
BYLADEM1TIR;SPARKASSE OBERPFALZ NORD
BYLADEM1TST;Kreissparkasse Traunstein-Trostberg
BYLADEM1WEN;Sparkasse Oberpfalz Nord
BYLADEM1WHM;Sparkasse Oberland
BYLADEM1WOR;Sparkasse Bad Tölz-Wolfratshausen
BYLADEM1WSB;Kreis- und Stadtsparkasse Wasserburg
BYLADEMM;BAYERISCHE LANDESBANK, MUENCHEN
BYLADEMMXXX;Bayerische Landesbank
CAGBDEF1CMI;ReiseBank Gf4 vormals Cash Express
CAGBDEF1XXX;ReiseBank Gf3 vormals Cash Express
CAIXDEFF;CAIXABANK, S.A., ZWEIGNIEDERLASSUNG DEUTSCHLAND
CAIXDEFFXXX;CAIXABANK Zweigniederlassung Deutschland
CBSRDE71;CB BANK GMBH
CBSRDE71XXX;CB Bank
CCBADE31;SANTANDER CONSUMER BANK
CHASDEFX;J.P.MORGAN AG
CHASDEFXVR1;J.P. Morgan, Internal Reference
CHASDEFXXXX;J.P. Morgan
CHDBDEHH;DONNER AND REUSCHEL AKTIENGESELLSCHAFT
CHDBDEHHXXX;DONNER & REUSCHEL
CHEKDE81;SPARKASSE CHEMNITZ
CHEKDE81GLA;Sparkasse Chemnitz
CHEKDE81HOT;Sparkasse Chemnitz
CHEKDE81LIM;Sparkasse Chemnitz
CHEKDE81LTS;Sparkasse Chemnitz
CHEKDE81MRN;Sparkasse Chemnitz
CHEKDE81OLW;Sparkasse Chemnitz
CHEKDE81XXX;Sparkasse Chemnitz
CITIDEFF;CITIGROUP GLOBAL MARKETS DEUTSCHLAND AG
CITIDEFFXXX;Citibank Europe Germany Branch
CKVHDE21;CALENBERGER KREDITVEREIN CALENBERG-GOETTINGEN-GRUBENHAGEN-HILDESHEIM'S
CKVHDE21XXX;Calenberger Kreditverein
CLABDEM1XXX;UniCredit Family Financing Bank, Ndl der UniCredit
CMCIDEDD;TARGOBANK AG
CMCIDEDDXXX;TARGOBANK
CMCIDEF1;BANQUE EUROPEENNE DU CREDIT MUTUEL
CMCIDEF1XXX;Credit Mutuel - BECM - Ndl Deutschland
CMCIDEFF;BANQUE FEDERATIVE DU CREDIT MUTUEL (BFCM)
COBADEBB;COMMERZBANK AG
COBADEBB120;Commerzbank Filiale Berlin 2
COBADEBBXXX;Commerzbank, Filiale Berlin 1
COBADEDD;COMMERZBANK AG
COBADEDDXXX;Commerzbank
COBADEDH;COMMERZBANK AG, WUPPERTAL (ZW.117)
COBADEDHXXX;Commerzbank Zw 117
COBADEF1;COMMERZBANK AG
COBADEF1BRS;Commerzbank Gf BRS
COBADEFF;COMMERZBANK AG
COBADEFFDSB;Deutsche Schiffsbank
COBADEFFXXX;Commerzbank, CC SP
COBADEHD;COMDIRECT BANK AG
COBADEHD001;comdirect bank
COBADEHD044;comdirect bank
COBADEHD055;comdirect bank
COBADEHD066;comdirect bank
COBADEHD077;comdirect bank
COBADEHD088;comdirect bank
COBADEHD099;comdirect bank
COBADEHDXXX;comdirect bank
COBADEHH;COMMERZBANK AG
COBADEHHXXX;Commerzbank
COKSDE33;KREISSPARKASSE KOELN
COKSDE33XXX;Kreissparkasse Köln
COLSDE33;SPARKASSE KOELNBONN (FORMER STADTSPARKASSE KOELN)
COLSDE33BON;Sparkasse Bonn -alt-
COLSDE33XXX;Sparkasse KölnBonn
COMMDEFF;BANK OF COMMUNICATIONS CO. LTD FRANKFURT BRANCH
COMMDEFFXXX;Bank of Communications Frankfurt branch
CPLADE55;TARGOBANK AG (FACTORINGGESCHAEFT)
CPLADE55XXX;TARGOBANK Gf FG
CPLUDES1;CREDITPLUS BANK AKTIENGESELLSCHAFT
CPLUDES1666;CreditPlus Bank
CPLUDES1XXX;CreditPlus Bank
CRESDE55;CREDIT SUISSE (DEUTSCHLAND) AG
CRESDE55XXX;Credit Suisse (Deutschland)
CSDBDE71;BNP PARIBAS S.A. NIEDERLASSUNG DEUTSCHLAND
CSDBDE71XXX;BNP Paribas Niederlassung Deutschland
CSHHDE71XXX;IC Cash Services
CUABDED1;BANK11DIREKT GMBH
CUABDED1XXX;Bank11direkt
DAAEDED1002;apoBank
DAAEDED1003;apoBank
DAAEDED1004;apoBank
DAAEDED1005;apoBank
DAAEDED1006;apoBank
DAAEDED1007;apoBank
DAAEDED1008;apoBank
DAAEDED1009;apoBank
DAAEDED1010;apoBank
DAAEDED1011;apoBank
DAAEDED1012;apoBank
DAAEDED1013;apoBank
DAAEDED1014;apoBank
DAAEDED1015;apoBank
DAAEDED1016;apoBank
DAAEDED1017;apoBank
DAAEDED1018;apoBank
DAAEDED1019;apoBank
DAAEDED1020;apoBank
DAAEDED1021;apoBank
DAAEDED1022;apoBank
DAAEDED1023;apoBank
DAAEDED1024;apoBank
DAAEDED1025;apoBank
DAAEDED1026;apoBank
DAAEDED1027;apoBank
DAAEDED1028;apoBank
DAAEDED1029;apoBank
DAAEDED1030;apoBank
DAAEDED1031;apoBank
DAAEDED1032;apoBank
DAAEDED1033;apoBank
DAAEDED1034;apoBank
DAAEDED1035;apoBank
DAAEDED1036;apoBank
DAAEDED1037;apoBank
DAAEDED1040;apoBank
DAAEDED1041;apoBank
DAAEDED1042;apoBank
DAAEDED1043;apoBank
DAAEDED1044;apoBank
DAAEDED1045;apoBank
DAAEDED1046;apoBank
DAAEDED1048;apoBank
DAAEDED1049;apoBank
DAAEDED1050;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDEDD;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDEDDXXX;apoBank
DABADEHH;DANSKE BANK
DABADEHHXXX;Danske Bank
DABBDEMM;BNP PARIBAS S.A. NIEDERLASSUNG DEUTSCHLAND
DABBDEMMXXX;BNP Paribas Niederlassung Deutschland
DEBKDE51;DEBEKA BAUSPARKASSE AG
DEBKDE51XXX;Debeka Bausparkasse
DEGUDEFF;DEGUSSA BANK GMBH
DEGUDEFFXXX;Degussa Bank
DEHYDE2H;DEUTSCHE HYPOTHEKENBANK AG
DEHYDE2HXXX;Deutsche Hypothekenbank
DEKTDE71;DEUTSCHE HANDELSBANK AG
DEKTDE7G;DEUTSCHE HANDELSBANK AG
DEKTDE7GXXX;Deutsche Handelsbank
DELBDE33;BETHMANN BANK AG
DELBDE33XXX;Bethmann Bank
DEPDDEMM;VZ DEPOTBANK DEUTSCHLAND
DEPDDEMMXXX;VZ Depotbank Deutschland
DEUTDE2H;DEUTSCHE BANK AG
DEUTDE2H240;Deutsche Bank
DEUTDE2H241;Deutsche Bank
DEUTDE2H250;Deutsche Bank
DEUTDE2H251;Deutsche Bank
DEUTDE2H252;Deutsche Bank
DEUTDE2H253;Deutsche Bank
DEUTDE2H254;Deutsche Bank
DEUTDE2H256;Deutsche Bank
DEUTDE2H257;Deutsche Bank
DEUTDE2H258;Deutsche Bank
DEUTDE2H259;Deutsche Bank
DEUTDE2H260;Deutsche Bank
DEUTDE2H261;Deutsche Bank
DEUTDE2H262;Deutsche Bank
DEUTDE2H263;Deutsche Bank
DEUTDE2H264;Deutsche Bank
DEUTDE2H265;Deutsche Bank
DEUTDE2H268;Deutsche Bank
DEUTDE2H269;Deutsche Bank
DEUTDE2H270;Deutsche Bank
DEUTDE2H271;Deutsche Bank
DEUTDE2H272;Deutsche Bank
DEUTDE2H273;Deutsche Bank
DEUTDE2H274;Deutsche Bank
DEUTDE2H275;Deutsche Bank
DEUTDE2H276;Deutsche Bank
DEUTDE2H277;Deutsche Bank
DEUTDE2H278;Deutsche Bank
DEUTDE2H279;Deutsche Bank
DEUTDE2H280;Deutsche Bank
DEUTDE2H281;Deutsche Bank
DEUTDE2H282;Deutsche Bank
DEUTDE2H283;Deutsche Bank
DEUTDE2H284;Deutsche Bank
DEUTDE2H285;Deutsche Bank
DEUTDE2HXXX;Deutsche Bank
DEUTDE3B;DEUTSCHE BANK AG
DEUTDE3B265;Deutsche Bank
DEUTDE3B266;Deutsche Bank
DEUTDE3B267;Deutsche Bank
DEUTDE3B268;Deutsche Bank
DEUTDE3B269;Deutsche Bank
DEUTDE3B270;Deutsche Bank
DEUTDE3B271;Deutsche Bank
DEUTDE3B272;Deutsche Bank
DEUTDE3B273;Deutsche Bank
DEUTDE3B274;Deutsche Bank
DEUTDE3B275;Deutsche Bank
DEUTDE3B400;Deutsche Bank
DEUTDE3B401;Deutsche Bank
DEUTDE3B403;Deutsche Bank
DEUTDE3B404;Deutsche Bank
DEUTDE3B405;Deutsche Bank
DEUTDE3B406;Deutsche Bank
DEUTDE3B407;Deutsche Bank
DEUTDE3B408;Deutsche Bank
DEUTDE3B409;Deutsche Bank
DEUTDE3B413;Deutsche Bank
DEUTDE3B414;Deutsche Bank
DEUTDE3B416;Deutsche Bank
DEUTDE3B417;Deutsche Bank
DEUTDE3B418;Deutsche Bank
DEUTDE3B428;Deutsche Bank
DEUTDE3B429;Deutsche Bank
DEUTDE3B440;Deutsche Bank
DEUTDE3B441;Deutsche Bank
DEUTDE3B442;Deutsche Bank
DEUTDE3B443;Deutsche Bank
DEUTDE3B450;Deutsche Bank
DEUTDE3B451;Deutsche Bank
DEUTDE3B452;Deutsche Bank
DEUTDE3B453;Deutsche Bank
DEUTDE3B472;Deutsche Bank
DEUTDE3B473;Deutsche Bank
DEUTDE3B474;Deutsche Bank
DEUTDE3B475;Deutsche Bank
DEUTDE3B476;Deutsche Bank
DEUTDE3B477;Deutsche Bank
DEUTDE3B478;Deutsche Bank
DEUTDE3B480;Deutsche Bank
DEUTDE3B481;Deutsche Bank
DEUTDE3B483;Deutsche Bank
DEUTDE3B484;Deutsche Bank
DEUTDE3B486;Deutsche Bank
DEUTDE3B487;Deutsche Bank
DEUTDE3B489;Deutsche Bank
DEUTDE3B490;Deutsche Bank
DEUTDE3B491;Deutsche Bank
DEUTDE3B492;Deutsche Bank
DEUTDE3B493;Deutsche Bank
DEUTDE3B494;Deutsche Bank
DEUTDE3B495;Deutsche Bank
DEUTDE3BXXX;Deutsche Bank
DEUTDE5M;DEUTSCHE BANK AG
DEUTDE5M550;Deutsche Bank
DEUTDE5M551;Deutsche Bank
DEUTDE5M552;Deutsche Bank
DEUTDE5M555;Deutsche Bank Saarbruecken
DEUTDE5M560;Deutsche Bank
DEUTDE5M562;Deutsche Bank
DEUTDE5M570;Deutsche Bank
DEUTDE5M571;Deutsche Bank
DEUTDE5M572;Deutsche Bank
DEUTDE5M573;Deutsche Bank
DEUTDE5M574;Deutsche Bank
DEUTDE5M575;Deutsche Bank
DEUTDE5M576;Deutsche Bank
DEUTDE5M577;Deutsche Bank
DEUTDE5M578;Deutsche Bank
DEUTDE5M579;Deutsche Bank
DEUTDE5M585;Deutsche Bank
DEUTDE5M586;Deutsche Bank
DEUTDE5M587;Deutsche Bank
DEUTDE5M588;Deutsche Bank
DEUTDE5M589;Deutsche Bank
DEUTDE5M590;Deutsche Bank
DEUTDE5MXXX;Deutsche Bank
DEUTDE5X;DEUTSCHE BANK EUROPE GMBH
DEUTDE5XXXX;Deutsche Bank Europe
DEUTDE6F;DEUTSCHE BANK AG
DEUTDE6F642;Deutsche Bank
DEUTDE6F644;Deutsche Bank
DEUTDE6F664;Deutsche Bank
DEUTDE6F665;Deutsche Bank
DEUTDE6F666;Deutsche Bank
DEUTDE6F667;Deutsche Bank
DEUTDE6F678;Deutsche Bank
DEUTDE6F679;Deutsche Bank
DEUTDE6F681;Deutsche Bank
DEUTDE6F682;Deutsche Bank
DEUTDE6F683;Deutsche Bank
DEUTDE6F684;Deutsche Bank
DEUTDE6F685;Deutsche Bank
DEUTDE6F686;Deutsche Bank
DEUTDE6F687;Deutsche Bank
DEUTDE6F688;Deutsche Bank
DEUTDE6F689;Deutsche Bank
DEUTDE6F690;Deutsche Bank
DEUTDE6F691;Deutsche Bank
DEUTDE6F692;Deutsche Bank
